date,departments,daily_visits,daily_admissions,admission_rate,patient_days,daily_discharge,wait_time,daily_revenue,ctf_daily,daily_profit,ctp_daily,beds_in_use,total_beds,occupancy_rate,daily_readmission,readmission_rate,bed_turnover,employee_count,employee_resign,employee_turnover,equip_count,equip_use,staff_patient_ratio,refer_reason,day_of_week
2024-03-18,oncology,19,0,0.0,117,1,16,0,0,0,0,25,25,1.0,4,0.15,0.0,14,1,0.07,44,0.8,1:3,Elective Procedure,Monday
2024-03-19,radiology,19,0,0.0,0,0,0,15412,0,15405,0,0,0,0.0,0,0.0,0.0,0,0,0.0,53,0.9,1:4,0,Tuesday
2024-03-20,pathology,37,0,0.0,0,0,0,1247,0,1245,0,0,0,0.0,0,0.0,0.0,0,0,0.0,44,0.5,1:3,0,Wednesday
2024-03-21,anesthesiology,34,0,0.0,0,0,0,9586,0,9577,0,0,0,0.0,0,0.0,0.0,0,0,0.0,39,1.0,1:1,0,Thursday
2024-03-22,icu,25,21,0.84,145,24,47,0,0,0,0,11,56,0.2,3,0.13,0.4,12,0,0.0,26,0.8,1:2,Chronic Illness,Friday
2024-03-23,psychiatry,9,0,0.0,37,33,34,0,0,0,0,39,40,0.98,3,0.08,0.0,16,1,0.06,45,0.8,1:3,Elective Procedure,Saturday
2024-03-24,physical_therapy,40,0,0.0,0,27,0,16527,0,16515,0,27,27,1.0,0,0.0,0.0,12,0,0.0,15,0.7,1:3,0,Sunday
2024-03-25,resp_therapy,27,0,0.0,0,16,0,19340,0,19326,0,23,23,1.0,0,0.0,0.0,12,1,0.08,59,0.7,1:1,0,Monday
2024-03-26,nutrition_diet,28,0,0.0,0,0,0,12055,0,12046,0,0,0,0.0,0,0.0,0.0,18,1,0.06,0,0.0,1:1,0,Tuesday
2024-03-27,pharmacy,5,0,0.0,0,0,0,13856,0,13844,0,0,0,0.0,0,0.0,0.0,0,0,0.0,35,0.9,1:3,0,Wednesday
2024-03-28,laboratory,5,0,0.0,0,0,0,7257,0,7239,0,0,0,0.0,0,0.0,0.0,0,0,0.0,45,0.8,1:2,0,Thursday
2024-03-29,infection_control,31,0,0.03,0,39,0,0,0,0,0,0,0,0.45,0,0.19,0.0,0,0,0.0,0,0.0,1:1,0,Friday
2024-03-30,medical_records,31,0,0.0,0,0,0,7089,0,7072,0,0,0,0.0,0,0.0,0.0,12,1,0.08,0,0.0,1:1,0,Saturday
2024-03-31,admin,39,0,0.0,0,0,0,8773,0,8764,0,0,0,0.0,0,0.0,0.0,15,0,0.0,0,0.0,1:4,0,Sunday
2024-04-01,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,11,1,0.09,0,0.0,0,0,Monday
2024-04-02,emergency,48,0,0.0,0,39,6,0,0,0,0,15,47,0.32,0,0.0,0.0,16,0,0.0,32,0.7,1:4,Mental Health,Tuesday
2024-04-03,internal_med,13,0,0.0,43,12,44,0,0,0,0,26,26,1.0,4,0.05,0.0,14,0,0.0,28,1.0,1:1,Prenatal,Wednesday
2024-04-04,surgery,0,0,0.0,80,20,0,18120,0,18118,0,16,32,0.5,1,0.19,0.0,15,0,0.0,28,1.0,1:2,Rehabilitation,Thursday
2024-04-05,pediatric,48,0,0.0,105,20,31,0,0,0,0,20,20,1.0,4,0.07,0.0,17,1,0.06,23,0.6,1:2,Cancer,Friday
2024-04-06,obgyn,10,0,0.0,67,13,40,0,0,0,0,13,13,1.0,3,0.12,0.0,19,1,0.05,19,0.8,1:1,Mental Health,Saturday
2024-04-07,cardio,13,0,0.0,122,29,45,0,0,0,0,52,52,1.0,3,0.05,0.0,18,1,0.06,50,1.0,1:2,Chronic Illness,Sunday
2024-04-08,orthopedic,41,0,0.0,96,11,0,0,0,0,0,40,40,1.0,3,0.02,0.0,13,1,0.08,44,0.8,1:1,Chronic Illness,Monday
2024-04-09,neurology,36,0,0.0,104,25,0,0,0,0,0,5,25,0.2,2,0.08,0.0,11,1,0.09,28,0.7,1:4,Lab Tests,Tuesday
2024-01-01,oncology,34,0,0.0,67,5,53,0,0,0,0,11,11,1.0,0,0.03,0.0,13,1,0.08,15,0.6,1:3,Critical Care,Monday
2024-01-02,radiology,40,0,0.0,0,0,0,9453,0,9443,0,0,0,0.0,0,0.0,0.0,0,0,0.0,19,0.7,1:1,0,Tuesday
2024-01-03,pathology,8,0,0.0,0,0,0,15254,0,15239,0,0,0,0.0,0,0.0,0.0,0,0,0.0,41,0.8,1:1,0,Wednesday
2024-01-04,anesthesiology,36,0,0.0,0,0,0,1465,0,1457,0,0,0,0.0,0,0.0,0.0,0,0,0.0,42,0.7,1:3,0,Thursday
2024-01-05,icu,40,1,0.02,112,17,22,0,0,0,0,60,78,0.77,1,0.05,0.0,12,0,0.0,56,0.6,1:2,Imaging,Friday
2024-01-06,psychiatry,11,10,0.91,18,15,49,0,0,0,0,7,32,0.22,0,0.03,0.3,14,1,0.07,33,0.9,1:1,Cardiac Issues,Saturday
2024-01-07,physical_therapy,32,0,0.38,0,33,0,12820,0,12804,0,5,50,0.1,0,0.0,0.0,12,0,0.0,31,0.8,1:4,0,Sunday
2024-01-08,resp_therapy,38,0,0.32,0,35,0,8915,0,8909,0,9,56,0.16,0,0.0,0.0,16,1,0.06,11,0.7,1:1,0,Monday
2024-01-09,nutrition_diet,40,0,0.0,0,0,0,19144,0,19141,0,0,0,0.0,0,0.0,0.0,16,0,0.0,0,0.0,1:3,0,Tuesday
2024-01-10,pharmacy,26,0,0.0,0,0,0,10342,0,10340,0,0,0,0.0,0,0.0,0.0,0,0,0.0,37,0.8,1:1,0,Wednesday
2024-01-11,laboratory,27,0,0.0,0,0,0,11068,0,11061,0,0,0,0.0,0,0.0,0.0,0,0,0.0,37,0.8,1:3,0,Thursday
2024-01-12,infection_control,28,0,1.0,0,7,0,0,0,0,0,0,0,0.14,1,0.19,0.0,0,0,0.0,0,0.0,1:2,0,Friday
2024-01-13,medical_records,21,0,0.0,0,0,0,3742,0,3739,0,0,0,0.0,0,0.0,0.0,13,0,0.0,0,0.0,1:2,0,Saturday
2024-01-14,admin,33,0,0.0,0,0,0,12560,0,12552,0,0,0,0.0,0,0.0,0.0,11,1,0.09,0,0.0,1:2,0,Sunday
2024-01-15,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,15,0,0.0,0,0.0,0,0,Monday
2024-01-16,emergency,15,0,0.0,0,34,57,0,0,0,0,38,38,1.0,0,0.0,0.0,15,1,0.07,47,1.0,1:2,Nervous System,Tuesday
2024-01-17,internal_med,22,0,0.0,97,6,56,0,0,0,0,18,18,1.0,3,0.02,0.0,19,0,0.0,21,0.9,1:3,Cardiac Issues,Wednesday
2024-01-18,surgery,0,0,0.0,137,11,0,5704,0,5685,0,17,24,0.71,0,0.04,0.0,13,1,0.08,42,0.9,1:1,Imaging,Thursday
2024-01-19,pediatric,24,0,0.0,76,35,46,0,0,0,0,68,73,0.93,3,0.11,0.0,13,0,0.0,32,1.0,1:2,Joint Issues,Friday
2024-01-20,obgyn,10,2,0.2,144,1,6,0,0,0,0,57,60,0.95,1,0.06,0.0,10,1,0.1,16,0.6,1:1,Prenatal,Saturday
2024-01-21,cardio,20,0,0.0,122,24,34,0,0,0,0,7,30,0.23,2,0.11,0.0,14,1,0.07,22,0.8,1:2,Pre/Post Surgery,Sunday
2024-01-22,orthopedic,25,3,0.12,102,39,0,0,0,0,0,37,79,0.47,1,0.02,0.0,13,1,0.08,56,0.9,1:1,Breathing Disorders,Monday
2024-01-23,neurology,24,0,0.0,115,31,0,0,0,0,0,38,38,1.0,3,0.1,0.0,13,0,0.0,41,0.7,1:4,Breathing Disorders,Tuesday
2024-01-24,oncology,25,0,0.0,115,3,34,0,0,0,0,24,27,0.89,3,0.15,0.0,11,1,0.09,55,0.7,1:2,Prenatal,Wednesday
2024-01-25,radiology,18,0,0.0,0,0,0,18233,0,18220,0,0,0,0.0,0,0.0,0.0,0,0,0.0,11,1.0,1:2,0,Thursday
2024-01-26,pathology,39,0,0.0,0,0,0,12436,0,12425,0,0,0,0.0,0,0.0,0.0,0,0,0.0,49,0.8,1:2,0,Friday
2024-01-27,anesthesiology,6,0,0.0,0,0,0,1733,0,1728,0,0,0,0.0,0,0.0,0.0,0,0,0.0,48,0.7,1:4,0,Saturday
2024-01-28,icu,35,5,0.14,146,20,5,0,0,0,0,29,54,0.54,2,0.0,0.1,17,0,0.0,13,0.6,1:4,Chronic Illness,Sunday
2024-01-29,psychiatry,27,0,0.0,32,37,16,0,0,0,0,41,57,0.72,3,0.12,0.0,14,1,0.07,42,0.6,1:1,Critical Care,Monday
2024-01-30,physical_therapy,7,0,0.0,0,11,0,13056,0,13052,0,19,19,1.0,0,0.0,0.0,16,1,0.06,50,0.5,1:3,0,Tuesday
2024-01-31,resp_therapy,22,0,0.0,0,31,0,18147,0,18129,0,14,44,0.32,0,0.0,0.0,15,1,0.07,39,0.8,1:2,0,Wednesday
2024-02-01,nutrition_diet,20,0,0.0,0,0,0,15417,0,15413,0,0,0,0.0,0,0.0,0.0,10,0,0.0,0,0.0,1:3,0,Thursday
2024-02-02,pharmacy,22,0,0.0,0,0,0,16605,0,16601,0,0,0,0.0,0,0.0,0.0,0,0,0.0,16,0.9,1:3,0,Friday
2024-02-03,laboratory,11,0,0.0,0,0,0,4193,0,4190,0,0,0,0.0,0,0.0,0.0,0,0,0.0,38,1.0,1:2,0,Saturday
2024-02-04,infection_control,19,0,0.0,0,33,0,0,0,0,0,0,0,0.42,1,0.04,0.0,0,0,0.0,0,0.0,1:1,0,Sunday
2024-02-05,medical_records,31,0,0.0,0,0,0,7350,0,7347,0,0,0,0.0,0,0.0,0.0,19,1,0.05,0,0.0,1:3,0,Monday
2024-02-06,admin,40,0,0.0,0,0,0,18103,0,18097,0,0,0,0.0,0,0.0,0.0,19,0,0.0,0,0.0,1:3,0,Tuesday
2024-02-07,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,12,1,0.08,0,0.0,0,0,Wednesday
2024-02-08,emergency,21,6,0.29,0,17,49,0,0,0,0,9,32,0.28,0,0.0,0.0,14,1,0.07,44,0.5,1:2,Cardiac Issues,Thursday
2024-02-09,internal_med,11,0,0.0,29,4,56,0,0,0,0,19,19,1.0,4,0.14,0.0,16,1,0.06,39,0.6,1:4,Chronic Illness,Friday
2024-02-10,surgery,0,0,0.0,127,22,0,14926,0,14921,0,49,50,0.98,2,0.1,0.0,18,1,0.06,12,0.7,1:1,Breathing Disorders,Saturday
2024-02-11,pediatric,14,14,1.0,41,22,41,0,0,0,0,21,76,0.28,2,0.11,0.2,17,1,0.06,52,0.7,1:2,Mental Health,Sunday
2024-02-12,obgyn,18,0,0.0,107,1,46,0,0,0,0,10,10,1.0,2,0.17,0.0,10,1,0.1,59,0.7,1:2,Prenatal,Monday
2024-02-13,cardio,43,0,0.0,28,7,44,0,0,0,0,62,62,1.0,3,0.15,0.0,16,1,0.06,48,0.6,1:4,Lab Tests,Tuesday
2024-02-14,orthopedic,7,7,1.0,21,21,0,0,0,0,0,9,75,0.12,0,0.16,0.1,10,0,0.0,41,0.9,1:3,Nervous System,Wednesday
2024-02-15,neurology,30,1,0.03,38,31,0,0,0,0,0,24,56,0.43,3,0.03,0.0,10,0,0.0,29,0.7,1:3,Joint Issues,Thursday
2024-02-16,oncology,7,0,0.0,147,15,34,0,0,0,0,51,66,0.77,3,0.01,0.0,13,0,0.0,11,0.8,1:1,Accident,Friday
2024-02-17,radiology,40,0,0.0,0,0,0,4118,0,4114,0,0,0,0.0,0,0.0,0.0,0,0,0.0,37,1.0,1:4,0,Saturday
2024-02-18,pathology,48,0,0.0,0,0,0,18322,0,18320,0,0,0,0.0,0,0.0,0.0,0,0,0.0,32,0.8,1:4,0,Sunday
2024-02-19,anesthesiology,35,0,0.0,0,0,0,14449,0,14446,0,0,0,0.0,0,0.0,0.0,0,0,0.0,14,0.8,1:2,0,Monday
2024-02-20,icu,42,0,0.0,149,3,17,0,0,0,0,11,11,1.0,2,0.14,0.0,13,1,0.08,49,0.7,1:2,Imaging,Tuesday
2024-02-21,psychiatry,11,0,0.0,106,5,27,0,0,0,0,18,18,1.0,4,0.08,0.0,19,1,0.05,15,0.9,1:4,Accident,Wednesday
2024-02-22,physical_therapy,49,0,0.0,0,15,0,8850,0,8841,0,49,51,0.96,0,0.0,0.0,14,0,0.0,10,0.6,1:3,0,Thursday
2024-02-23,resp_therapy,5,0,1.0,0,15,0,13590,0,13573,0,18,43,0.42,0,0.0,0.0,18,0,0.0,55,0.9,1:4,0,Friday
2024-02-24,nutrition_diet,28,0,0.0,0,0,0,15646,0,15643,0,0,0,0.0,0,0.0,0.0,16,0,0.0,0,0.0,1:1,0,Saturday
2024-02-25,pharmacy,30,0,0.0,0,0,0,19326,0,19319,0,0,0,0.0,0,0.0,0.0,0,0,0.0,57,0.8,1:1,0,Sunday
2024-02-26,laboratory,25,0,0.0,0,0,0,10250,0,10231,0,0,0,0.0,0,0.0,0.0,0,0,0.0,52,1.0,1:4,0,Monday
2024-02-27,infection_control,9,0,0.0,0,3,0,0,0,0,0,0,0,1.0,0,0.05,0.0,0,0,0.0,0,0.0,1:4,0,Tuesday
2024-02-28,medical_records,34,0,0.0,0,0,0,18963,0,18951,0,0,0,0.0,0,0.0,0.0,16,1,0.06,0,0.0,1:3,0,Wednesday
2024-02-29,admin,25,0,0.0,0,0,0,11594,0,11580,0,0,0,0.0,0,0.0,0.0,15,1,0.07,0,0.0,1:4,0,Thursday
2024-03-01,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,19,0,0.0,0,0.0,0,0,Friday
2024-03-02,emergency,11,0,0.0,0,6,50,0,0,0,0,44,44,1.0,0,0.0,0.0,16,1,0.06,55,0.6,1:2,Prenatal,Saturday
2024-03-03,internal_med,16,16,1.0,134,10,25,0,0,0,0,12,45,0.27,1,0.16,0.4,17,1,0.06,50,0.5,1:4,Prenatal,Sunday
2024-03-04,surgery,0,0,0.0,134,13,0,7164,0,7154,0,27,27,1.0,2,0.04,0.0,16,1,0.06,15,0.5,1:3,Pre/Post Surgery,Monday
2024-03-05,pediatric,25,0,0.0,112,31,17,0,0,0,0,31,39,0.79,0,0.16,0.0,13,0,0.0,20,0.7,1:3,Joint Issues,Tuesday
2024-03-06,obgyn,15,0,0.0,23,10,45,0,0,0,0,27,27,1.0,2,0.09,0.0,19,1,0.05,15,0.9,1:3,Cancer,Wednesday
2024-03-07,cardio,10,0,0.0,149,21,9,0,0,0,0,15,21,0.71,4,0.11,0.0,17,1,0.06,35,0.7,1:1,Nervous System,Thursday
2024-03-08,orthopedic,46,28,0.61,126,2,0,0,0,0,0,41,71,0.58,3,0.17,0.4,14,1,0.07,45,0.6,1:4,Imaging,Friday
2024-03-09,neurology,39,0,0.0,95,19,0,0,0,0,0,29,36,0.81,4,0.08,0.0,17,0,0.0,17,0.9,1:4,Nervous System,Saturday
2024-03-10,oncology,37,0,0.0,99,25,57,0,0,0,0,47,63,0.75,0,0.08,0.0,17,0,0.0,30,0.8,1:1,Mental Health,Sunday
