date,departments,daily_visits,daily_admissions,admission_rate,patient_days,daily_discharge,wait_time,daily_revenue,ctf_daily,daily_profit,ctp_daily,beds_in_use,total_beds,occupancy_rate,daily_readmission,readmission_rate,bed_turnover,employee_count,employee_resign,employee_turnover,equip_count,equip_use,staff_patient_ratio,refer_reason
2024-02-04,anesthesiology,24,0,0.0,72,13,10,2453.0,14.0,2439.0,16,46,46,1.0,3,0.08,0.0,131,3,0.02,16,0.6,1:3,Nervous System
2024-02-05,icu,199,0,0.0,80,24,37,6625.0,12.0,6613.0,7,12,24,0.5,0,0.12,0.0,63,1,0.02,39,0.6,1:2,Cardiac Issues
2024-02-06,psychiatry,199,0,0.0,108,34,19,6382.0,7.0,6375.0,11,44,44,1.0,3,0.08,0.0,75,3,0.04,11,0.6,1:4,Lab Tests
2024-02-07,physical_therapy,184,0,0.0,75,35,19,9879.0,2.0,9877.0,9,41,41,1.0,4,0.03,0.0,139,4,0.03,39,0.6,1:3,Breathing Disorders
2024-02-08,resp_therapy,199,0,0.0,88,20,18,3474.0,8.0,3466.0,16,17,20,0.85,4,0.09,0.0,51,0,0.0,13,0.9,1:1,Mental Health
2024-02-09,nutrition_diet,60,0,0.0,82,3,43,8837.0,13.0,8824.0,18,19,19,1.0,2,0.14,0.0,44,2,0.05,23,0.5,1:1,Child Health
2024-02-10,pharmacy,117,28,0.24,56,6,9,13347.0,18.0,13329.0,24,32,66,0.48,2,0.16,0.4,135,4,0.03,22,1.0,1:3,Chronic Illness
2024-02-11,laboratory,64,0,0.0,90,19,56,12635.0,5.0,12630.0,18,34,34,1.0,4,0.1,0.0,85,0,0.0,34,0.8,1:3,Critical Care
2024-02-12,infection_control,73,0,0.0,135,3,30,18353.0,4.0,18349.0,9,11,11,1.0,1,0.03,0.0,61,0,0.0,22,0.8,1:1,Joint Issues
2024-02-13,medical_records,140,49,0.35,61,18,52,15205.0,2.0,15203.0,12,6,73,0.08,4,0.08,0.7,95,2,0.02,22,0.7,1:4,Accident
2024-02-14,admin,60,0,0.0,32,39,21,7947.0,19.0,7928.0,23,21,44,0.48,0,0.16,0.0,57,1,0.02,46,0.8,1:3,Joint Issues
2024-02-15,security,144,0,0.0,149,9,47,10127.0,16.0,10111.0,8,16,16,1.0,3,0.08,0.0,80,4,0.05,53,0.7,1:4,Critical Care
2024-02-16,emergency,30,0,0.0,30,12,51,9129.0,9.0,9120.0,19,17,27,0.63,4,0.14,0.0,108,2,0.02,15,0.7,1:1,Imaging
2024-02-17,internal_med,82,54,0.66,73,5,56,12066.0,2.0,12064.0,3,17,76,0.22,4,0.1,0.7,37,2,0.05,35,0.6,1:4,Critical Care
2024-02-18,surgery,176,1,0.01,81,3,20,18907.0,15.0,18892.0,4,47,51,0.92,3,0.05,0.0,89,1,0.01,23,1.0,1:4,Imaging
2024-02-19,pediatric,27,12,0.44,139,11,39,10409.0,5.0,10404.0,16,25,48,0.52,3,0.16,0.2,101,4,0.04,17,0.6,1:3,Joint Issues
2024-02-20,obgyn,141,0,0.0,78,30,42,1877.0,6.0,1871.0,6,50,50,1.0,0,0.02,0.0,135,2,0.01,33,0.7,1:4,Imaging
2024-02-21,cardio,98,0,0.0,77,4,57,13596.0,14.0,13582.0,11,33,33,1.0,3,0.1,0.0,99,1,0.01,31,0.7,1:4,Critical Care
2024-02-22,orthopedic,69,45,0.65,137,5,27,1879.0,16.0,1863.0,8,19,69,0.28,2,0.04,0.7,34,4,0.12,49,0.5,1:4,Breathing Disorders
2024-02-23,neurology,23,0,0.0,116,1,17,15890.0,7.0,15883.0,19,55,55,1.0,4,0.01,0.0,32,3,0.09,48,0.6,1:1,Elective Procedure
2024-02-24,oncology,18,0,0.0,118,27,37,13147.0,2.0,13145.0,23,28,28,1.0,3,0.1,0.0,138,0,0.0,58,0.6,1:1,Child Health
2024-02-25,radiology,99,0,0.0,81,28,33,4069.0,14.0,4055.0,13,56,77,0.73,0,0.1,0.0,62,1,0.02,30,0.8,1:2,Pre/Post Surgery
2024-02-26,pathology,62,0,0.0,112,29,57,13193.0,7.0,13186.0,6,34,51,0.67,3,0.14,0.0,76,0,0.0,52,0.7,1:1,Child Health
2024-02-27,anesthesiology,139,0,0.0,74,18,50,3698.0,16.0,3682.0,23,37,41,0.9,4,0.15,0.0,36,3,0.08,35,0.9,1:1,Child Health
2024-02-28,icu,93,0,0.0,143,12,38,13899.0,17.0,13882.0,11,48,48,1.0,1,0.15,0.0,51,2,0.04,19,0.9,1:2,Breathing Disorders
2024-02-29,psychiatry,101,0,0.0,121,13,38,6295.0,17.0,6278.0,18,45,45,1.0,3,0.08,0.0,74,2,0.03,22,0.6,1:2,Cancer
2024-03-01,physical_therapy,120,30,0.25,88,2,31,14816.0,11.0,14805.0,5,13,45,0.29,2,0.13,0.7,32,4,0.12,51,0.8,1:3,Cardiac Issues
2024-03-02,resp_therapy,197,0,0.0,135,12,19,18007.0,10.0,17997.0,6,12,12,1.0,4,0.12,0.0,66,1,0.02,23,0.9,1:3,Imaging
2024-03-03,nutrition_diet,181,0,0.0,130,16,54,2882.0,10.0,2872.0,5,5,17,0.29,0,0.08,0.0,106,1,0.01,18,0.8,1:1,Breathing Disorders
2024-03-04,pharmacy,17,7,0.41,96,24,13,12364.0,18.0,12346.0,15,48,79,0.61,4,0.12,0.1,81,4,0.05,16,0.8,1:4,Cancer
2024-03-05,laboratory,184,2,0.01,57,35,30,8741.0,18.0,8723.0,21,13,50,0.26,1,0.19,0.0,48,0,0.0,48,0.9,1:3,Pre/Post Surgery
2024-03-06,infection_control,44,19,0.43,97,22,7,14889.0,18.0,14871.0,23,36,77,0.47,0,0.04,0.2,41,2,0.05,40,0.5,1:3,Child Health
2024-03-07,medical_records,90,0,0.0,77,22,40,16959.0,13.0,16946.0,3,19,22,0.86,1,0.18,0.0,84,2,0.02,59,0.9,1:1,Joint Issues
2024-03-08,admin,173,31,0.18,110,11,51,8203.0,14.0,8189.0,8,16,58,0.28,1,0.01,0.5,48,1,0.02,25,0.6,1:4,Critical Care
2024-03-09,security,59,0,0.0,26,29,9,13765.0,13.0,13752.0,24,61,69,0.88,2,0.06,0.0,67,1,0.01,17,0.8,1:2,Pre/Post Surgery
2024-03-10,emergency,113,0,0.0,47,11,24,12580.0,15.0,12565.0,5,11,11,1.0,3,0.06,0.0,24,4,0.17,57,0.6,1:2,Imaging
2024-03-11,internal_med,141,23,0.16,147,15,24,7953.0,11.0,7942.0,5,31,69,0.45,2,0.13,0.3,120,3,0.02,24,0.9,1:1,Rehabilitation
2024-03-12,surgery,11,0,0.0,63,14,9,15733.0,3.0,15730.0,18,14,14,1.0,2,0.03,0.0,90,0,0.0,34,0.7,1:1,Pre/Post Surgery
2024-03-13,pediatric,143,21,0.15,143,16,14,12388.0,5.0,12383.0,12,16,53,0.3,2,0.18,0.4,85,3,0.04,56,0.8,1:4,Pre/Post Surgery
2024-03-14,obgyn,63,0,0.0,143,10,20,1252.0,8.0,1244.0,19,36,36,1.0,0,0.17,0.0,91,3,0.03,47,0.9,1:1,Breathing Disorders
2024-03-15,cardio,115,0,0.0,61,32,29,1036.0,16.0,1020.0,9,41,41,1.0,3,0.13,0.0,44,1,0.02,50,0.9,1:1,Cancer
2024-03-16,orthopedic,13,0,0.0,24,2,48,14933.0,16.0,14917.0,15,30,30,1.0,3,0.09,0.0,79,1,0.01,24,0.9,1:1,Breathing Disorders
2024-03-17,neurology,63,0,0.0,77,17,29,14728.0,7.0,14721.0,13,15,17,0.88,0,0.19,0.0,59,1,0.02,34,0.6,1:4,Imaging
2024-03-18,oncology,155,0,0.0,121,23,34,6771.0,4.0,6767.0,12,47,59,0.8,2,0.17,0.0,26,3,0.12,16,0.9,1:1,Elective Procedure
2024-03-19,radiology,53,53,1.0,113,2,18,11254.0,7.0,11247.0,9,21,76,0.28,2,0.1,0.7,65,0,0.0,35,0.8,1:3,Critical Care
2024-03-20,pathology,171,0,0.0,16,38,26,4532.0,17.0,4515.0,8,36,53,0.68,1,0.14,0.0,105,1,0.01,17,0.8,1:4,Elective Procedure
2024-03-21,anesthesiology,199,0,0.0,60,31,47,2913.0,3.0,2910.0,3,44,67,0.66,1,0.11,0.0,40,2,0.05,27,1.0,1:3,Cardiac Issues
2024-03-22,icu,23,0,0.0,67,12,32,11758.0,8.0,11750.0,19,12,12,1.0,4,0.12,0.0,20,0,0.0,30,0.6,1:4,Nervous System
2024-03-23,psychiatry,104,0,0.0,118,29,34,9088.0,12.0,9076.0,14,60,79,0.76,1,0.07,0.0,142,2,0.01,25,0.6,1:3,Accident
2024-03-24,physical_therapy,57,0,0.0,120,3,23,19014.0,8.0,19006.0,6,10,11,0.91,3,0.09,0.0,144,0,0.0,56,0.8,1:4,Child Health
2024-03-25,resp_therapy,24,0,0.0,40,14,42,16056.0,5.0,16051.0,5,53,53,1.0,0,0.02,0.0,52,1,0.02,12,0.9,1:2,Critical Care
2024-03-26,nutrition_diet,199,0,0.0,101,11,46,5322.0,8.0,5314.0,8,11,11,1.0,2,0.07,0.0,23,4,0.17,10,0.7,1:1,Nervous System
2024-03-27,pharmacy,49,0,0.0,115,1,24,3458.0,5.0,3453.0,18,44,44,1.0,4,0.14,0.0,22,1,0.05,22,0.8,1:1,Cardiac Issues
2024-03-28,laboratory,91,0,0.0,22,3,39,3028.0,13.0,3015.0,15,39,39,1.0,1,0.19,0.0,110,3,0.03,41,0.7,1:4,Mental Health
2024-03-29,infection_control,120,0,0.0,128,17,26,11242.0,6.0,11236.0,11,17,17,1.0,4,0.19,0.0,71,3,0.04,21,0.8,1:3,Breathing Disorders
2024-03-30,medical_records,62,0,0.0,124,18,19,3806.0,6.0,3800.0,13,15,31,0.48,0,0.11,0.0,47,0,0.0,40,0.9,1:2,Chronic Illness
2024-03-31,admin,33,0,0.0,66,9,15,10027.0,4.0,10023.0,22,53,53,1.0,0,0.12,0.0,89,3,0.03,50,0.6,1:3,Nervous System
2024-04-01,security,163,4,0.02,135,38,58,12896.0,12.0,12884.0,23,25,67,0.37,4,0.04,0.1,76,1,0.01,11,0.8,1:1,Critical Care
2024-04-02,emergency,197,0,0.0,63,23,38,17360.0,8.0,17352.0,15,45,45,1.0,4,0.14,0.0,127,2,0.02,50,0.9,1:1,Mental Health
2024-04-03,internal_med,133,25,0.19,142,21,28,13900.0,18.0,13882.0,21,32,78,0.41,4,0.01,0.3,43,1,0.02,17,0.7,1:3,Accident
2024-04-04,surgery,50,18,0.36,28,1,10,11356.0,10.0,11346.0,5,21,40,0.52,2,0.06,0.4,96,0,0.0,34,0.7,1:4,Pre/Post Surgery
2024-04-05,pediatric,166,25,0.15,86,21,21,15045.0,10.0,15035.0,14,10,56,0.18,3,0.13,0.4,95,3,0.03,14,0.5,1:4,Accident
2024-04-06,obgyn,24,14,0.58,78,27,32,17119.0,11.0,17108.0,21,23,64,0.36,1,0.06,0.2,88,2,0.02,54,0.9,1:3,Joint Issues
2024-04-07,cardio,54,5,0.09,53,6,54,3867.0,14.0,3853.0,10,60,71,0.85,1,0.01,0.1,120,4,0.03,11,0.7,1:1,Breathing Disorders
2024-04-08,orthopedic,74,0,0.0,47,36,35,19636.0,16.0,19620.0,16,32,39,0.82,1,0.17,0.0,111,2,0.02,51,0.7,1:3,Mental Health
2024-04-09,neurology,98,0,0.0,71,28,40,5182.0,6.0,5176.0,24,42,64,0.66,4,0.06,0.0,111,2,0.02,47,0.7,1:1,Imaging
2024-01-01,oncology,80,0,0.0,31,17,59,3159.0,4.0,3155.0,11,25,25,1.0,4,0.01,0.0,131,1,0.01,48,0.7,1:3,Elective Procedure
2024-01-02,radiology,18,0,0.0,82,3,13,7838.0,9.0,7829.0,19,21,21,1.0,4,0.01,0.0,114,3,0.03,12,0.9,1:4,Pre/Post Surgery
2024-01-03,pathology,97,0,0.0,134,12,14,2897.0,11.0,2886.0,8,26,26,1.0,2,0.05,0.0,42,2,0.05,55,0.9,1:2,Pre/Post Surgery
2024-01-04,anesthesiology,138,0,0.0,14,25,25,7485.0,14.0,7471.0,6,25,25,1.0,2,0.04,0.0,46,2,0.04,57,0.7,1:1,Nervous System
2024-01-05,icu,145,0,0.0,63,12,38,13593.0,4.0,13589.0,6,21,21,1.0,2,0.15,0.0,89,1,0.01,47,0.8,1:2,Breathing Disorders
2024-01-06,psychiatry,72,0,0.0,95,2,35,9400.0,9.0,9391.0,21,17,17,1.0,2,0.06,0.0,128,0,0.0,31,0.9,1:4,Cancer
2024-01-07,physical_therapy,148,0,0.0,12,12,33,14360.0,10.0,14350.0,14,12,12,1.0,0,0.16,0.0,96,0,0.0,49,0.6,1:3,Nervous System
2024-01-08,resp_therapy,90,0,0.0,47,23,47,8912.0,13.0,8899.0,4,25,25,1.0,2,0.03,0.0,69,2,0.03,42,0.5,1:4,Accident
2024-01-09,nutrition_diet,145,0,0.0,82,30,47,1318.0,12.0,1306.0,19,36,39,0.92,2,0.1,0.0,143,3,0.02,41,0.9,1:2,Accident
2024-01-10,pharmacy,172,0,0.0,47,5,15,4078.0,3.0,4075.0,17,32,32,1.0,2,0.14,0.0,38,1,0.03,56,0.8,1:4,Cardiac Issues
2024-01-11,laboratory,172,0,0.0,134,9,37,19059.0,19.0,19040.0,12,14,14,1.0,1,0.13,0.0,20,0,0.0,26,0.8,1:4,Pre/Post Surgery
2024-01-12,infection_control,42,0,0.0,79,21,50,8254.0,10.0,8244.0,5,60,74,0.81,1,0.12,0.0,59,0,0.0,27,0.5,1:3,Accident
2024-01-13,medical_records,132,0,0.0,74,11,5,7614.0,3.0,7611.0,22,32,39,0.82,1,0.18,0.0,41,4,0.1,12,0.9,1:2,Nervous System
2024-01-14,admin,14,14,1.0,34,5,25,15137.0,3.0,15134.0,6,5,30,0.17,3,0.05,0.5,131,2,0.02,15,0.8,1:2,Rehabilitation
2024-01-15,security,50,0,0.0,25,35,27,19152.0,4.0,19148.0,24,46,79,0.58,0,0.1,0.0,59,3,0.05,58,0.9,1:2,Critical Care
2024-01-16,emergency,37,0,0.0,24,27,13,1292.0,17.0,1275.0,3,31,31,1.0,4,0.18,0.0,57,1,0.02,22,1.0,1:1,Mental Health
2024-01-17,internal_med,144,0,0.0,140,2,5,6276.0,5.0,6271.0,3,41,41,1.0,2,0.02,0.0,67,0,0.0,40,1.0,1:4,Breathing Disorders
2024-01-18,surgery,81,0,0.0,46,24,25,8350.0,19.0,8331.0,20,42,42,1.0,1,0.01,0.0,94,4,0.04,26,0.9,1:2,Cardiac Issues
2024-01-19,pediatric,21,0,0.0,134,25,26,12572.0,19.0,12553.0,6,8,25,0.32,0,0.05,0.0,126,2,0.02,30,0.5,1:4,Prenatal
2024-01-20,obgyn,171,0,0.0,122,33,58,12584.0,11.0,12573.0,24,42,47,0.89,2,0.13,0.0,27,2,0.07,25,0.9,1:3,Critical Care
2024-01-21,cardio,42,0,0.0,10,23,8,11084.0,12.0,11072.0,17,23,23,1.0,3,0.05,0.0,105,1,0.01,26,0.5,1:3,Cardiac Issues
2024-01-22,orthopedic,57,2,0.04,80,30,5,17035.0,18.0,17017.0,23,13,45,0.29,4,0.04,0.0,87,0,0.0,41,0.9,1:1,Child Health
2024-01-23,neurology,160,0,0.0,112,32,55,19245.0,17.0,19228.0,24,20,32,0.62,2,0.09,0.0,94,1,0.01,10,0.6,1:1,Accident
2024-01-24,oncology,71,0,0.0,28,28,14,17469.0,14.0,17455.0,12,60,75,0.8,4,0.12,0.0,109,1,0.01,57,0.8,1:3,Joint Issues
2024-01-25,radiology,46,0,0.0,61,11,19,8389.0,3.0,8386.0,19,11,11,1.0,2,0.05,0.0,149,4,0.03,47,0.5,1:2,Imaging
2024-01-26,pathology,108,45,0.42,127,11,56,7865.0,3.0,7862.0,24,18,74,0.24,3,0.06,0.6,99,2,0.02,17,0.9,1:3,Cancer
2024-01-27,anesthesiology,181,24,0.13,116,23,40,8355.0,15.0,8340.0,14,29,76,0.38,0,0.12,0.3,114,3,0.03,10,0.6,1:4,Child Health
2024-01-28,icu,113,21,0.19,64,2,33,10492.0,5.0,10487.0,22,38,61,0.62,4,0.19,0.3,89,2,0.02,11,0.7,1:1,Critical Care
2024-01-29,psychiatry,44,16,0.36,23,27,56,16079.0,18.0,16061.0,14,28,71,0.39,4,0.13,0.2,109,2,0.02,56,0.9,1:1,Child Health
2024-01-30,physical_therapy,110,0,0.0,22,32,50,8649.0,14.0,8635.0,18,30,32,0.94,0,0.16,0.0,78,4,0.05,46,0.8,1:3,Breathing Disorders
2024-01-31,resp_therapy,184,9,0.05,93,2,9,15609.0,5.0,15604.0,7,24,35,0.69,4,0.07,0.3,47,3,0.06,33,0.5,1:2,Cancer
2024-02-01,nutrition_diet,140,0,0.0,99,39,33,18431.0,4.0,18427.0,18,68,77,0.88,1,0.05,0.0,91,0,0.0,36,0.7,1:2,Rehabilitation
2024-02-02,pharmacy,10,10,1.0,36,37,51,4055.0,13.0,4042.0,19,14,64,0.22,0,0.09,0.2,33,3,0.09,29,0.5,1:4,Child Health
2024-02-03,laboratory,14,0,0.0,98,15,51,18207.0,9.0,18198.0,17,15,15,1.0,3,0.16,0.0,43,0,0.0,56,0.8,1:1,Imaging
2024-02-04,infection_control,151,30,0.2,146,5,31,11389.0,3.0,11386.0,15,9,44,0.2,2,0.09,0.7,131,3,0.02,30,1.0,1:3,Child Health
2024-02-05,medical_records,112,0,0.0,50,21,29,12699.0,7.0,12692.0,10,31,31,1.0,2,0.17,0.0,63,1,0.02,51,0.8,1:3,Nervous System
2024-02-06,admin,36,0,0.0,57,29,20,16236.0,11.0,16225.0,23,31,52,0.6,0,0.2,0.0,75,3,0.04,46,0.6,1:1,Lab Tests
2024-02-07,security,146,0,0.0,21,20,20,17706.0,13.0,17693.0,4,19,24,0.79,1,0.01,0.0,139,4,0.03,44,0.7,1:3,Child Health
2024-02-08,emergency,24,0,0.0,147,38,40,7672.0,11.0,7661.0,10,39,69,0.57,3,0.01,0.0,51,0,0.0,47,1.0,1:1,Cancer
2024-02-09,internal_med,99,0,0.0,15,20,29,11264.0,11.0,11253.0,12,21,21,1.0,2,0.03,0.0,44,2,0.05,24,0.6,1:2,Lab Tests
2024-02-10,surgery,51,0,0.0,50,25,45,19265.0,4.0,19261.0,9,48,58,0.83,2,0.08,0.0,135,4,0.03,59,0.8,1:2,Nervous System
2024-02-11,pediatric,133,19,0.14,15,2,5,19881.0,11.0,19870.0,12,30,51,0.59,1,0.03,0.4,85,0,0.0,55,0.7,1:3,Prenatal
2024-02-12,obgyn,188,0,0.0,139,32,9,12947.0,10.0,12937.0,6,47,47,1.0,4,0.17,0.0,61,0,0.0,51,0.9,1:2,Cancer
2024-02-13,cardio,72,0,0.0,24,26,45,1809.0,15.0,1794.0,13,38,54,0.7,0,0.0,0.0,95,2,0.02,39,0.9,1:2,Nervous System
2024-02-14,orthopedic,105,0,0.0,25,6,24,15601.0,3.0,15598.0,11,44,44,1.0,1,0.06,0.0,57,1,0.02,13,0.7,1:4,Mental Health
2024-02-15,neurology,61,20,0.33,94,3,9,7792.0,6.0,7786.0,6,16,39,0.41,1,0.04,0.5,80,4,0.05,52,0.8,1:1,Imaging
2024-02-16,oncology,105,0,0.0,19,33,40,5023.0,9.0,5014.0,5,8,39,0.21,1,0.19,0.0,108,2,0.02,48,0.8,1:1,Child Health
2024-02-17,radiology,141,0,0.0,147,1,33,8400.0,8.0,8392.0,13,15,15,1.0,1,0.13,0.0,37,2,0.05,24,0.6,1:3,Child Health
2024-02-18,pathology,160,12,0.08,147,5,52,13552.0,7.0,13545.0,5,59,76,0.78,4,0.18,0.2,89,1,0.01,32,0.6,1:1,Accident
2024-02-19,anesthesiology,152,0,0.0,28,13,38,6365.0,12.0,6353.0,20,5,16,0.31,3,0.19,0.0,101,4,0.04,50,0.8,1:4,Child Health
2024-02-20,icu,180,8,0.04,77,19,52,4420.0,13.0,4407.0,21,34,61,0.56,1,0.1,0.1,135,2,0.01,24,0.6,1:3,Pre/Post Surgery
2024-02-21,psychiatry,38,4,0.11,51,12,22,18377.0,19.0,18358.0,16,7,23,0.3,1,0.05,0.2,99,1,0.01,35,0.9,1:3,Critical Care
2024-02-22,physical_therapy,45,0,0.0,149,24,6,17064.0,11.0,17053.0,13,24,24,1.0,0,0.04,0.0,34,4,0.12,21,0.5,1:1,Nervous System
2024-02-23,resp_therapy,22,0,0.0,93,30,20,14204.0,15.0,14189.0,4,30,30,1.0,2,0.04,0.0,32,3,0.09,27,0.5,1:2,Pre/Post Surgery
2024-02-24,nutrition_diet,169,0,0.0,143,12,33,12217.0,4.0,12213.0,4,44,44,1.0,4,0.14,0.0,138,0,0.0,15,0.7,1:2,Pre/Post Surgery
2024-02-25,pharmacy,80,3,0.04,62,30,37,8267.0,19.0,8248.0,4,42,75,0.56,1,0.01,0.0,62,1,0.02,27,0.6,1:2,Prenatal
2024-02-26,laboratory,196,0,0.0,107,5,20,5385.0,16.0,5369.0,12,11,11,1.0,3,0.01,0.0,76,0,0.0,59,0.7,1:2,Breathing Disorders
2024-02-27,infection_control,95,0,0.0,51,34,39,9057.0,7.0,9050.0,17,44,44,1.0,3,0.12,0.0,36,3,0.08,33,0.7,1:4,Cardiac Issues
2024-02-28,medical_records,37,0,0.0,39,22,51,17859.0,11.0,17848.0,24,29,29,1.0,3,0.13,0.0,51,2,0.04,47,0.9,1:3,Child Health
2024-02-29,admin,75,0,0.0,18,19,47,6428.0,13.0,6415.0,14,19,19,1.0,0,0.13,0.0,74,2,0.03,37,1.0,1:2,Mental Health
2024-03-01,security,179,0,0.0,43,13,46,16406.0,8.0,16398.0,13,25,34,0.74,3,0.07,0.0,32,4,0.12,24,0.9,1:4,Breathing Disorders
